index,img,clutter,firstfixtotarget,iousfixmap,iousgradcam,gtcs,scs,targetsize,eccentricities,eccentricity scaled 0-1,precisions_fixmap,precisions_gradcam,accuracies_fixmap,accuracies_gradcam,ious_gradcamfixmap,avetargetsaliency,confidence,fixmapproportional_area,gradcamproportional_area,precisionsratio,log precision ratio,accuracyratio,log accuracy ratio,iou ratio,log iou ratio
134,623rocking chair,101,4.166666667,0.4778080246,0.3725688589,0.4064013735,0.9223212246,0.04943758573,169.9066798,0.5932495803,0.9223212246,0.4064013735,0.4978419041,0.8173634234,0.2614183792,0.1714556138,99.94769692,0.02668495656,0.09942996494,2.238996516,0.8060277817,0.6138075357,-0.4880738597,1.275085552,0.2430132759
43,479sink,139,2.842105263,0.3549102642,0.2763237207,0.1576766152,0.2715736041,0.05550373419,86.17655562,0.3008957947,0.8121827411,0.2798213769,0.3866432337,0.9567223199,0.139236033,0.2570553999,99.9994874,0.0264228014,0.1897698522,2.836860241,1.042697892,0.4102969649,-0.8908740768,1.274467457,0.2425284105
23,463window screen,110,4.166666667,0.4380976034,0.3502357768,0.5298210424,0.9043105805,0.07431184271,127.2500214,0.4443087338,0.6430328989,0.3584793306,0.5788825991,0.9383870703,0.3259531835,0.132357369,98.19263816,0.06689833867,0.1945252248,1.772237531,0.5722428899,0.620930649,-0.4765358796,1.24390089,0.2182523206
108,529bath towel,182,2.777777778,0,0.01604130076,0.8474496486,1,0.4006157598,109.2181812,0.3813483981,0,0.05067079116,0,0.02293375538,0.1400423658,0.2128961921,99.97830987,0.02539247066,0.1813199207,0.1648239591,-1.802877289,0.3036398335,-1.191913038,0.3840053956,-0.9570986755
96,524window screen,114,4.818181818,0.2965213747,0.2451962388,0.413528509,0.6062626263,0.04526139308,192.9628238,0.6737528763,0.5717171717,0.283201511,0.3811961207,0.6462823276,0.1064948193,0.0582781529,97.73803353,0.03017832647,0.1032891328,1.984018328,0.6851242468,0.5960790109,-0.5173820521,1.201120268,0.183254678
99,753car wheel,83,4.473684211,0.2375864787,0.2055596196,0.2452087434,0.4920693471,0.05310166133,114.4359795,0.3995669675,0.5003688676,0.2474360302,0.3114810563,0.5484500574,0.1874189676,0.2507283099,99.93914366,0.0330559366,0.1177015699,1.982507527,0.684362471,0.5756666187,-0.5522265728,1.148575411,0.1385224014
200,540sliding door,131,4.777777778,0.08698166199,0,0.735176911,0.4958859659,0.2682944673,132.7000631,0.4633382093,0.4881214509,0,0.09571204581,0,0,0.2459912158,99.99976158,0.05260783417,0.1009724127,49.81214509,3.908258832,10.57120458,2.358133756,9.698166199,2.271936816
178,779sink,126,2.588235294,0.3616429774,0.3151867186,0.4712877759,0.9108244532,0.1467885993,132.1036037,0.4612555995,0.8633389419,0.3847236888,0.3836026083,0.6355442954,0.2689696787,0.1245967782,99.97882247,0.06522176497,0.2424874257,2.212532378,0.7941377318,0.6097220766,-0.4947520378,1.142860259,0.1335341192
201,738television,130,4.076923077,0.420393394,0.3904828203,0.4442344985,0.3953862661,0.04787684804,159.4416501,0.556709672,0.6076984979,0.3904828203,0.5769769515,1,0.3707423798,0.3695550183,99.94719625,0.04545648529,0.1226093583,1.542384508,0.4333296008,0.5811652985,-0.5427200557,1.074686284,0.07202879003
179,448seashore,82,4.133333333,0.2467979437,0.240164769,0.7125470604,0.9387093037,0.06923944521,124.6834913,0.4353473858,0.3281774997,0.2457320105,0.4988113058,0.9137976578,0.2890261077,0.1308303642,99.99728203,0.1052400549,0.2574790428,1.322390181,0.2794408425,0.5507821994,-0.5964158303,1.026515223,0.02616978749
111,741refrigerator,105,5.4,0.2354692637,0.2293619424,0.2842798019,0.7191933003,0.08575522024,139.235889,0.4861588304,0.6487779867,0.2755953593,0.26987061,0.5775629177,0.103789796,0.09238673886,99.69207048,0.03567139156,0.1797165066,2.306683093,0.8358106022,0.4763244949,-0.741655945,1.025515006,0.02519493084
137,537desk,144,3.555555556,0.1264538652,0,0.2259611244,0.7195171434,0.337277854,122.1679921,0.4265642181,0.7422398052,0,0.1322620296,0,0.01906455953,0.08192606814,99.99196529,0.06010059442,0.2123395824,75.22398052,4.32047007,14.22620296,2.655085543,13.64538652,2.61340148
33,636laptop computer,103,1.222222222,0.06386768448,0,0,0.1082830026,0.02271604938,201.559,0.7037674581,0.1082830026,0,0.1347289318,0,0.1375433727,0.07823741733,98.94360304,0.02826398415,0.1716079866,11.82830026,2.470494987,14.47289318,2.672277464,7.386768448,1.999690352
169,679couch,142,4.642857143,0.370235437,0.3621128553,0.2865644993,0.06756241662,0.1492699284,176.8807952,0.6176005421,0.9006098723,0.507960125,0.3860071884,0.5577520013,0.3488993143,0.2523676227,99.81753826,0.06397805213,0.1639018442,1.758069451,0.5642163039,0.6975002949,-0.3602523424,1.021828275,0.02159344909
127,698wine bottle,120,5,0.2254594092,0.2247551838,0.2876730506,0.2123534011,0.05049839963,150.1606713,0.5243040198,0.3031274433,0.2507408554,0.4680671254,0.6844138597,0.5358816383,0.3705376577,99.87216592,0.07797591831,0.1378387441,1.200914382,0.1830832519,0.6884469812,-0.37331697,1.002999829,0.002995338474
63,655table lamp,129,5,0.1750704926,0.186500459,0.704420188,0.7137225918,0.03689071788,174.1136579,0.6079387498,0.2600394186,0.2085810008,0.3488679557,0.6379110891,0.3940726778,0.1222679901,99.99628067,0.04949245542,0.1128242646,1.23542036,0.2114112844,0.5538845711,-0.5907989693,0.941832368,-0.05992797352
94,799window screen,131,4.352941176,0.2814104296,0.3014315401,0.3107471129,0.7736418511,0.1189391861,160.3650381,0.5599337923,0.6985244802,0.307683243,0.3203137014,0.9368496591,0.1334472065,0.04845360476,99.8323977,0.05454046639,0.362152111,2.230285971,0.8021298156,0.3488554896,-1.053097513,0.9357126435,-0.06644685447
153,457monitor,128,4.125,0.3880585805,0.4163276757,0.09971718865,0.04798978941,0.06491083676,114.9065603,0.4012100569,0.6594767071,0.6217659998,0.4853010238,0.5575279421,0.6030618832,0.5046356024,90.18973112,0.04776710867,0.05820454199,1.059690941,0.05797730093,0.8727341633,-0.1361242789,0.9336916256,-0.06860906059
130,607ambulance,116,5.176470588,0.6033229491,0.659379616,0.1489122281,0.07115119629,0.07370217955,203.6118745,0.710935316,0.946135538,0.6976744186,0.6247828605,0.9231532798,0.3987633436,0.4226256021,99.9958396,0.04866941015,0.09752171925,1.351095239,0.300915552,0.6802557245,-0.3852864861,0.9162557904,-0.08745970609
68,744television,106,5,0.166242836,0.1888681033,0.5230877945,0.7527922561,0.0481390032,134.0722902,0.468129505,0.1918444221,0.189429567,0.5547112462,0.9845491388,0.2980124375,0.2227124817,99.13073182,0.1391921963,0.2501996647,1.012108812,0.01203608646,0.5678062794,-0.5659749758,0.8862297828,-0.1207790135
98,501goldfish,131,3.928571429,0.1760192568,0.2138651067,0.4637649901,0.3760492445,0.09939338515,115.1598322,0.4020943862,0.4910464466,0.2381373479,0.215297798,0.6772373183,0.1541713398,0.2516369432,99.99802113,0.04357872276,0.282664228,2.01923028,0.7027163893,0.3278311465,-1.1152566,0.8309435067,-0.1851934688
1,408taxicab,106,3.947368421,0.4743255467,0.5815600016,0.09963342419,0.02981676244,0.1126901387,148.1010776,0.5171127011,0.9664968015,0.6871416487,0.4822549232,0.7910084397,0.4334523921,0.3649901339,99.99992847,0.05622923335,0.1297241274,1.400715053,0.3369828585,0.6145439907,-0.4868747647,0.818725988,-0.2000058201
86,746laptop computer,154,4.411764706,0.4149902661,0.5211434962,0.1694756136,0.2140875133,0.128986435,126.1000387,0.4402934311,0.9554962647,0.6666368635,0.4231696365,0.704825826,0.418883276,0.2739208625,99.99982119,0.0571254382,0.1363755525,1.426904617,0.3555074947,0.6059792761,-0.5009094914,0.800142088,-0.2229659571
